backers_count,id,pledged,static_usd_rate,s_category,g_category,staff_pick,state,country,month_launched,currency,usd_pledged,length_days,name_length,blurb_length,goal_$,funded_percentage,converted_pledged_amount
30,716414514,4125,1,23,1,0,1,21,6,13,0.00065132,0.325842697,0.56626506,0.678756477,0.000039993,0.000035947,0.00065132
65,992980434,6010,0.77869491,32,11,0,1,3,3,1,0.000738945,0.314606742,0.096385542,0.461139896,0.000046715,0.000034916,0.00073532
0,1613343540,0,1.43469141,276,15,0,0,9,4,5,0,0.325842697,0.228915663,0.352331606,0.000007166,0,0
95,1523480710,13011.22,1,263,9,0,1,21,3,13,0.002054415,0.325842697,0.662650602,0.632124352,0.000119993,0.000037795,0.002054381
19,1268908451,2132,1,322,14,0,0,21,4,13,0.000336634,0.325842697,0.192771084,0.637305699,0.000237493,0.000003129,0.000336634
7,1774787208,100,1.71591338,24,1,0,1,9,7,5,0.000027094,0.02247191,0.204819277,0.668393782,0.000001709,0.000034858,0.000027
1,787166961,1,1,263,9,0,0,21,10,13,0.000000158,0.382022472,0.614457831,0.367875648,0.000099993,0.000000003,0.000000158
0,544020722,0,1,345,26,0,0,21,1,13,0,0.651685393,0.192771084,0.538860104,0.000024993,0,0
31,1252416815,1730,1,276,15,0,1,21,12,13,0.00027316,0.494382022,0.65060241,0.595854922,0.000004993,0.000120607,0.00027316
4,1391528834,580,1,23,1,0,0,21,12,13,0.000091579,0.662921348,0.385542169,0.595854922,0.001299993,0.000000156,0.00009158
5,1411657014,125,1,345,26,0,0,21,1,13,0.000019737,0.325842697,0.385542169,0.616580311,0.000019993,0.000002179,0.000019737
18,1836460225,1153,1,263,9,0,1,21,2,13,0.000182054,0.314606742,0.578313253,0.694300518,0.000009993,0.000040191,0.000182054
58,1508319559,1506,1,263,9,0,1,21,3,13,0.000237791,0.224719101,0.469879518,0.626943005,0.000002493,0.000209982,0.000237791
58,602172331,3470,0.95688744,24,1,0,0,3,10,1,0.000524277,0.325842697,0.638554217,0.585492228,0.000459299,0.00000252,0.000519319
3,579807292,40,1.68251314,278,15,0,0,9,5,5,0.000010626,0.325842697,0.373493976,0.694300518,0.000042056,0.000000558,0.000010579
3,808661145,3,1,258,7,0,0,21,11,13,0.000000474,0.325842697,0.34939759,0.67357513,0.000110883,0.000000009,0.000000474
30,701445284,930,1,49,18,0,1,21,2,13,0.000146843,0.325842697,0.337349398,0.523316062,0.000007993,0.000040522,0.000146843
1,523239578,10,1,29,11,0,0,21,5,13,0.000001579,0.662921348,0.313253012,0.378238342,0.000001493,0.000002324,0.000001579
